name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boulder,2023-01-01,37,28.3,32.1,37,23.7,30.5,27.1,82,0,0,0,"rain,snow",0.3,0.1,9.2,6.9,332.1,1009.8,51.8,9.2,71.8,6.3,4,10,2023-01-01T07:23:10,2023-01-01T16:46:26,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-01-02,30.3,26.7,28.4,30.2,19.9,24.9,27.8,97.6,0.054,100,12.5,"rain,snow",3.6,0.8,11.4,6.9,1.8,1007.8,99.6,4.1,5.4,0.4,0,10,2023-01-02T07:23:16,2023-01-02T16:47:17,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,E4338,72053800164"
Boulder,2023-01-03,26.7,15.4,22.1,26.7,9,20.1,19.9,91.3,0.001,100,4.17,snow,0,1.2,20.8,5.7,18.5,1008.4,41.9,9.3,28.5,2.6,2,10,2023-01-03T07:23:20,2023-01-03T16:48:09,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"KLMO,D5993,72053300160,BTAC2,KBDU,72053800164"
Boulder,2023-01-04,33.7,12.3,22.2,32.1,4.4,17.8,13.3,71.2,0.001,100,4.17,snow,0,0.7,54.1,8.6,42.3,1014.1,12.6,7.9,118.8,10.4,5,10,2023-01-04T07:23:22,2023-01-04T16:49:02,0.43,Snow,Clear conditions throughout the day with afternoon snow.,rain,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-05,32.2,16.7,23,32.2,7.1,20.6,12.1,63.4,0,0,0,,0,0.2,18.3,6.9,307,1017.2,0,9.9,63.4,5.5,4,10,2023-01-05T07:23:22,2023-01-05T16:49:57,0.46,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-06,44.7,19,31.5,44.7,11.1,29.4,18,58.9,0,0,0,,0,0.4,19.5,5.7,244.3,1015.2,35.3,9.9,85.1,7.4,4,10,2023-01-06T07:23:19,2023-01-06T16:50:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-07,39.7,25.9,31.5,39.7,20.7,29.8,22.5,69.8,0,0,0,,0,0,20.8,7.5,316.6,1023.1,18.4,9.9,117.4,10.2,5,10,2023-01-07T07:23:14,2023-01-07T16:51:51,0.53,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-08,50.8,22.2,34.6,50.8,14.5,30.7,17.7,55.2,0,0,0,,0,0.1,27.5,18.4,214.6,1018.8,0,9.9,128.3,11,6,10,2023-01-08T07:23:07,2023-01-08T16:52:50,0.56,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-09,51.8,31.9,42.1,51.8,27.7,39.1,20.5,43.4,0,0,0,,0,0,30,18.8,307.7,1014.9,16,9.9,96.8,8.5,5,10,2023-01-09T07:22:58,2023-01-09T16:53:50,0.59,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-01-10,55.4,30,43,55.4,23.7,39.6,23.2,48.3,0,0,0,,0,0,56.4,36,255,1008,2.8,9.9,117.9,10.1,5,10,2023-01-10T07:22:47,2023-01-10T16:54:51,0.63,Clear,Clear conditions throughout the day.,wind,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
